상품코드,거래처,엑셀원본폴더,원본상품번호,상품명,이미지수,상태,매칭폴더/메모
N260188,펄,S399 투피스,S399,네이비 S399 투피스,4,매칭완료,펄/S399 투피스
N260189,펄,S501,S501,핑크/민트 S501,4,매칭완료,펄/S501
N260190,펄,S502,S502,아이보리 도트 A라인 미니원피스,4,매칭완료,펄/S502
N260191,펄,S503,S503,블랙 도트 A라인 미니원피스,4,매칭완료,펄/S503
N260192,펄,견장단추BL아이블랙,견장단추BL아이블랙,아이보리/블랙 견장단추BL아이블랙,4,매칭완료,펄/견장단추BL아이블랙
N260193,펄,다이아자수SK아이핑크,다이아자수SK아이핑크,아이보리/핑크 다이아자수SK아이핑크,4,매칭완료,펄/다이아자수SK아이핑크
N260194,펄,도뜨리본BL 델리SK(S397번 투피스P S396번 투피스I,S397,"아이보리/핑크 상:81,000 하:81,000",4,매칭완료,펄/도뜨리본BL 델리SK(S397번 투피스P S396번 투피스I
N260195,펄,링SK아이블랙,링SK아이블랙,아이보리/블랙 링SK아이블랙,4,매칭완료,펄/링SK아이블랙
N260196,펄,샹드리에SK아이핑크,샹드리에SK아이핑크,화이트/핑크 샹드리에SK아이핑크,4,매칭완료,펄/샹드리에SK아이핑크
N260197,펄,셔링나시 아이 중청(S436),S436,화이트/블루 셔링나시 아이 중청(S436),4,매칭완료,펄/셔링나시 아이 중청(S436)
N260198,펄,아코디언BL아이핑크(S435),S435,아코디언BL아이핑크(S435),4,매칭완료,펄/아코디언BL아이핑크(S435)
N260199,펄,오투3아이 블랙,오투3아이_블랙,아이보리/블랙 오투3아이 블랙,4,매칭완료,펄/오투3아이 블랙
N260200,펄,이중레이스훌BL핑크블루,이중레이스훌BL핑크블루,핑크/블루 이중레이스훌BL핑크블루,4,매칭완료,펄/이중레이스훌BL핑크블루
N260201,펄,자수미니SK아검,자수미니SK아검,아이보리/블랙 자수미니SK아검,4,매칭완료,펄/자수미니SK아검
N260202,펄,카라야투피스블랙블루,카라야투피스블랙블루,카라야투피스블랙블루,4,매칭완료,펄/카라야투피스블랙블루
N260203,펄,캔디원피스민트크림,캔디원피스민트크림,아이보리/민트 캔디원피스민트크림,4,매칭완료,펄/캔디원피스민트크림
N260204,펄,컷팅투피스아이블랙,컷팅투피스아이블랙,아이보리/블랙 컷팅투피스아이블랙,4,매칭완료,펄/컷팅투피스아이블랙
N260205,펄,코메즈 아이 핑크,코메즈_아이_핑크,아이보리/핑크 코메즈 아이 핑크,4,매칭완료,펄/코메즈 아이 핑크
N260206,펄,탑레이스 민트 아이(S434),S434,아이보리/민트 탑레이스 민트 아이(S434),4,매칭완료,펄/탑레이스 민트 아이(S434)
N260207,펄,팅커나시아이중청,팅커나시아이중청,아이보리/블루 팅커나시아이중청,4,매칭완료,펄/팅커나시아이중청
N260208,펄,폼폼투피스 소라아이(S401 투피스S400 투피스),S401,아이보리/민트 폼폼투피스 소라아이(S401 투피스S400 투피스),4,매칭완료,펄/폼폼투피스 소라아이(S401 투피스S400 투피스)
N260209,희야,S402 투피스,S402,화이트/블랙 화이트 레이스스커트 투피스,4,매칭완료,희야/S402 투피스
N260210,희야,S403 투피스,S403,화이트 주얼 트위드 투피스,4,매칭완료,희야/S403 투피스
N260211,희야,S404번 투피스,S404,라벤더 주얼 트위드 투피스,4,매칭완료,희야/S404번 투피스
N260212,희야,S407투피스,S407,화이트/블랙 스트라이프 스쿨룩 투피스,4,매칭완료,희야/S407투피스
N260213,희야,S408 투피스,S408,블루/그레이 블루 스트라이프 스쿨룩 투피스,4,매칭완료,희야/S408 투피스
N260214,희야,S498,S498,핑크 빅리본 버튼 미니드레스,4,매칭완료,희야/S498
N260215,희야,S499,S499,민트 빅리본 버튼 미니드레스,4,매칭완료,희야/S499
N260216,희야,S500,S500,블랙 빅리본 버튼 미니드레스,4,매칭완료,희야/S500
