code,supplier_code,price,image_count,main_image,name
N260197,S436,81000,6,assets/N260197_01.jpg,셔링 나시 탑
N260198,S435,81000,5,assets/N260198_01.jpg,아코디언 셔링 블라우스
N260206,S434,81000,5,assets/N260206_01.jpg,레이스 슬리브리스 탑
N260112,S431,65000,8,assets/N260112_01.jpg,레이스 코르셋 탑
N260110,S429,32000,19,assets/N260110_01.jpg,터틀넥 민소매 탑
N260113,S432,64000,7,assets/N260113_01.jpg,플라워 쉬폰 나시 탑
N260115,S437,57000,7,assets/N260115_01.jpg,자수 장식 리브 탑
N260196,S328,81000,5,assets/N260196_01.jpg,샹드리에 포인트 스커트
N260195,S329,81000,6,assets/N260195_01.jpg,링 포인트 스커트
N260114,S433,63000,8,assets/N260114_01.jpg,레이스 코르셋 뷔스티에
2026-08-05 추가수정,S434/S435/S436 상세페이지 정보 매칭
N260206,S434,"55(S) 총길이 29 / 소매 - / 가슴 36(밴딩) / 허리 30, 66(M) 총길이 29 / 소매 - / 가슴 38.5(밴딩) / 허리 32.5, 77(L) 총길이 29 / 소매 - / 가슴 41(밴딩) / 허리 35",레이스,소재 레이스 / 신축성 있음 / 캡여부 있음 / 어깨패드 없음 / 안감 부분 / 비침 시스루 / 두께감 보통 / 지퍼 뒷지퍼
N260198,S435,"55(S) 총길이 39 / 소매 24 / 가슴 38 / 허리 27, 66(M) 총길이 39 / 소매 24 / 가슴 40.5 / 허리 29.5, 77(L) 총길이 39 / 소매 24 / 가슴 43 / 허리 32",레이스,소재 레이스 / 신축성 있음 / 캡여부 있음 / 안감 부분 / 비침 있음 / 두께감 보통 / 지퍼 뒷지퍼
N260197,S436,"55(S) 총길이 38 / 소매 - / 가슴 37 / 허리 30, 66(M) 총길이 38 / 소매 - / 가슴 39.5 / 허리 32.5, 77(L) 총길이 38 / 소매 - / 가슴 42 / 허리 35",데님,소재 데님 / 신축성 있음 / 캡여부 있음 / 안감 부분 / 비침 없음 / 두께감 보통 / 지퍼 뒷지퍼
