code,old_main,new_main,old_order,new_order
S944-WHITE,assets/aug11/S944-WHITE/S944-WHITE_01.jpg,assets/aug11/S944-WHITE/S944-WHITE_06.jpg,assets/aug11/S944-WHITE/S944-WHITE_02.jpg | assets/aug11/S944-WHITE/S944-WHITE_03.jpg | assets/aug11/S944-WHITE/S944-WHITE_04.jpg | assets/aug11/S944-WHITE/S944-WHITE_05.jpg | assets/aug11/S944-WHITE/S944-WHITE_06.jpg | assets/aug11/S944-WHITE/S944-WHITE_07.jpg | assets/aug11/S944-WHITE/S944-WHITE_08.png | assets/aug11/S944-WHITE/S944-WHITE_09.png | assets/aug11/S944-WHITE/S944-WHITE_10.png | assets/aug11/S944-WHITE/S944-WHITE_01.jpg,assets/aug11/S944-WHITE/S944-WHITE_06.jpg | assets/aug11/S944-WHITE/S944-WHITE_08.png | assets/aug11/S944-WHITE/S944-WHITE_09.png | assets/aug11/S944-WHITE/S944-WHITE_10.png | assets/aug11/S944-WHITE/S944-WHITE_03.jpg | assets/aug11/S944-WHITE/S944-WHITE_04.jpg | assets/aug11/S944-WHITE/S944-WHITE_05.jpg | assets/aug11/S944-WHITE/S944-WHITE_07.jpg | assets/aug11/S944-WHITE/S944-WHITE_01.jpg | assets/aug11/S944-WHITE/S944-WHITE_02.jpg
S944-BLACK,assets/aug11/S944-BLACK/S944-BLACK_01.jpg,assets/aug11/S944-BLACK/S944-BLACK_04.jpg,assets/aug11/S944-BLACK/S944-BLACK_02.jpg | assets/aug11/S944-BLACK/S944-BLACK_03.jpg | assets/aug11/S944-BLACK/S944-BLACK_04.jpg | assets/aug11/S944-BLACK/S944-BLACK_05.jpg | assets/aug11/S944-BLACK/S944-BLACK_06.png | assets/aug11/S944-BLACK/S944-BLACK_07.png | assets/aug11/S944-BLACK/S944-BLACK_08.png | assets/aug11/S944-BLACK/S944-BLACK_01.jpg,assets/aug11/S944-BLACK/S944-BLACK_04.jpg | assets/aug11/S944-BLACK/S944-BLACK_06.png | assets/aug11/S944-BLACK/S944-BLACK_07.png | assets/aug11/S944-BLACK/S944-BLACK_08.png | assets/aug11/S944-BLACK/S944-BLACK_03.jpg | assets/aug11/S944-BLACK/S944-BLACK_05.jpg | assets/aug11/S944-BLACK/S944-BLACK_01.jpg | assets/aug11/S944-BLACK/S944-BLACK_02.jpg
S945-SORA,assets/aug11/S945-SORA/S945-SORA_01.jpg,assets/aug11/S945-SORA/S945-SORA_05.png,assets/aug11/S945-SORA/S945-SORA_02.jpg | assets/aug11/S945-SORA/S945-SORA_03.jpg | assets/aug11/S945-SORA/S945-SORA_04.jpg | assets/aug11/S945-SORA/S945-SORA_05.png | assets/aug11/S945-SORA/S945-SORA_01.jpg,assets/aug11/S945-SORA/S945-SORA_05.png | assets/aug11/S945-SORA/S945-SORA_03.jpg | assets/aug11/S945-SORA/S945-SORA_04.jpg | assets/aug11/S945-SORA/S945-SORA_01.jpg | assets/aug11/S945-SORA/S945-SORA_02.jpg
