code,name,size_table,wear_table,source
TIA-S929,체인 프린트 나시탑 세트,Y,Y,TIA-S928(#Uc544#Uc774#Ubcf4#Ub9ac) TIA-S929(#Ube14#Ub799#Ubca0#Uc774#Uc9c0) TIA-S930(#Ub3c4#Ud2b8#Ube14#Ub799) #Uc20f#Ud32c#Uce20 #Uc815#Ubcf4.png
TIA-S930,도트 프린트 나시탑 세트,Y,Y,TIA-S928(#Uc544#Uc774#Ubcf4#Ub9ac) TIA-S929(#Ube14#Ub799#Ubca0#Uc774#Uc9c0) TIA-S930(#Ub3c4#Ud2b8#Ube14#Ub799) #Uc20f#Ud32c#Uce20 #Uc815#Ubcf4.png
TIA-S931,리본 플레어 미니원피스,Y,Y,"TIA-S931(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S932(#Uc5d8#Ub85c#Uc6b0), TIA-S933(#Uc18c#Ub77c), TIA-S934(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S932,리본 플레어 미니원피스,Y,Y,"TIA-S931(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S932(#Uc5d8#Ub85c#Uc6b0), TIA-S933(#Uc18c#Ub77c), TIA-S934(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S933,리본 플레어 미니원피스,Y,Y,"TIA-S931(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S932(#Uc5d8#Ub85c#Uc6b0), TIA-S933(#Uc18c#Ub77c), TIA-S934(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S934,리본 플레어 미니원피스,Y,Y,"TIA-S931(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S932(#Uc5d8#Ub85c#Uc6b0), TIA-S933(#Uc18c#Ub77c), TIA-S934(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S935,드레이프 오프숄더 미디원피스,Y,Y,"TIA-S935(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S936(#Ub77c#Ubca4#Ub354), TIA-S937(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S936,드레이프 오프숄더 미디원피스,Y,Y,"TIA-S935(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S936(#Ub77c#Ubca4#Ub354), TIA-S937(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S937,드레이프 오프숄더 미디원피스,Y,Y,"TIA-S935(#Uc544#Uc774#Ubcf4#Ub9ac), TIA-S936(#Ub77c#Ubca4#Ub354), TIA-S937(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S938,브라운 셔링 홀터 미니원피스,Y,Y,TIA-S938 #Uc81c#Ud488#Uc815#Ubcf4.png
PEARL-S911,블루 버클라인 미니원피스,N,Y,PEARL-S911(#Ube14#Ub8e8) PEARL-S912(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png
PEARL-S912,블랙 버클라인 미니원피스,N,Y,PEARL-S911(#Ube14#Ub8e8) PEARL-S912(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png
PEARL-S913,아이보리 버튼 슬림 미디원피스,Y,Y,PEARL-S913(#Uc544#Uc774#Ubcf4#Ub9ac) PEARL-S914(#Ud551#Ud06c) #Uc81c#Ud488#Uc815#Ubcf4.png
PEARL-S914,핑크 버튼 슬림 미디원피스,Y,Y,PEARL-S913(#Uc544#Uc774#Ubcf4#Ub9ac) PEARL-S914(#Ud551#Ud06c) #Uc81c#Ud488#Uc815#Ubcf4.png
PEARL-S915,아이보리 버클포인트 미니원피스,N,Y,"PEARL-S915(#Uc544#Uc774#Ubcf4#Ub9ac), PEARL-S916(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
PEARL-S916,블랙 버클포인트 미니원피스,N,Y,"PEARL-S915(#Uc544#Uc774#Ubcf4#Ub9ac), PEARL-S916(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png"
HEP-S884,브라운 버클 슬릿 미니원피스,Y,Y,HEP-S884 HEP-S885 #Uc81c#Ud488#Uc815#Ubcf4.png
HEP-S885,그레이 버클 슬릿 미니원피스,Y,Y,HEP-S884 HEP-S885 #Uc81c#Ud488#Uc815#Ubcf4.png
HIYA-S882,핑크 트위드 퍼프 투피스,Y,Y,"HIYA-S882, HIYA-S883 #Uc81c#Ud488#Uc815#Ubcf4.png"
HIYA-S883,민트 트위드 퍼프 투피스,Y,Y,"HIYA-S882, HIYA-S883 #Uc81c#Ud488#Uc815#Ubcf4.png"
