site,name,price,url,image,sourcePage
judyshop,상품명 : 지니JN6327(핑크),117000,https://www.judyshop.co.kr/product/지니jn6327핑크/112733/category/1/display/28/,https://www.judyshop.co.kr/web/product/medium/202601/c8c695d524827512365f328315bf026f.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 티아라S580,81000,https://www.judyshop.co.kr/product/티아라s580/115194/category/1/display/28/,https://www.judyshop.co.kr/web/product/medium/TIM1/20260601_S580.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 지니JN6341(화이트),126000,https://www.judyshop.co.kr/product/지니jn6341화이트/112747/category/1/display/28/,https://www.judyshop.co.kr/web/product/medium/202602/44937c437ba46cf0a0a4ea1996d53930.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 써니S471,135000,https://www.judyshop.co.kr/product/써니s471/114901/category/1/display/28/,https://www.judyshop.co.kr/web/product/medium/TIM5/20260514_S471.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 티아라S573,144000,https://www.judyshop.co.kr/product/티아라s573/115187/category/1/display/28/,https://www.judyshop.co.kr/web/product/medium/TIM1/20260601_S573.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 지니JN6357 투피스세트(소라),153000,https://www.judyshop.co.kr/product/지니jn6357투피스세트소라/114395/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/202604/d51ee7ca5569f6b8e2f959dc732eb707.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 티아라S639 투피스세트,113000,https://www.judyshop.co.kr/product/티아라s639투피스세트/115253/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/TIM1/20260601_S639.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 지니JN6383 투피스세트(아이보리),149000,https://www.judyshop.co.kr/product/지니jn6383투피스세트아이보리/114421/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/202606/b9f3b5460a9c6118b0a4182b778c044b.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 펄S300 투피스세트,162000,https://www.judyshop.co.kr/product/펄s300투피스세트/114481/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/TIM5/20260408_S300.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 희야S404 투피스세트,99000,https://www.judyshop.co.kr/product/희야s404투피스세트/114734/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/202604/4e4c932ebabdd6ed032f0d1c9bea02b0.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 희야S407 투피스세트,84000,https://www.judyshop.co.kr/product/희야s407투피스세트/114737/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/202604/4a8ff32532c145dba554e34c897c6945.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
