code,원본이미지배열,메인컷,제품컷,이미지수
JES-176,176M.jpg > 176.jpg > 176UX.jpg > 176LX.jpg,assets/jessica/JES-176/JES-176_01.jpg,assets/jessica/JES-176/JES-176_02.jpg,4
JES-193,193-1M.jpg > 193.jpg > 193-1.jpg > 193UX.jpg > 193LX.jpg,assets/jessica/JES-193/JES-193_01.jpg,assets/jessica/JES-193/JES-193_02.jpg,5
JES-194,194-1M.jpg > 194.jpg > 194-1.jpg > 194-1UX.jpg > 194LX.jpg,assets/jessica/JES-194/JES-194_01.jpg,assets/jessica/JES-194/JES-194_02.jpg,5
JES-199,199M.jpg > 199.jpg > 199-1.jpg > 199UX.jpg > 199-1LX.jpg,assets/jessica/JES-199/JES-199_01.jpg,assets/jessica/JES-199/JES-199_02.jpg,5
JES-204,204M.jpg > 204.jpg > 204UX.jpg > 204LX.jpg,assets/jessica/JES-204/JES-204_01.jpg,assets/jessica/JES-204/JES-204_02.jpg,4
JES-309,309M.jpg > 309P.jpg > 309-1.jpg > 309-2.jpg > 309-3.jpg > 309-4.jpg > 309-1UX.jpg > 309-3LX.jpg,assets/jessica/JES-309/JES-309_01.jpg,assets/jessica/JES-309/JES-309_02.jpg,8
JES-326,326-3M.jpg > 326P.jpg > 326-1.jpg > 326-2.jpg > 326-3.jpg > 326-2UX.jpg > 326-1LX.jpg,assets/jessica/JES-326/JES-326_01.jpg,assets/jessica/JES-326/JES-326_02.jpg,7
JES-369,369-1M.jpg > 369P.jpg > 369-2.jpg > 369-3.jpg > 369-4.jpg > 369-5.jpg > 369-3UX.jpg > 369-4.LXjpg.jpg,assets/jessica/JES-369/JES-369_01.jpg,assets/jessica/JES-369/JES-369_02.jpg,8
JES-109,109-1M.jpg > 109.jpg > 109-1.jpg > 109-1UX.jpg > 109LX.jpg,assets/jessica/JES-109/JES-109_01.jpg,assets/jessica/JES-109/JES-109_02.jpg,5
