candidateId,productCode,topCode,bottomCode,color,colorMatch,lengthMatch,silhouetteMatch,detailMatch,materialMatch,finalStatus,approvalCandidate,revisionNeeded,excluded,candidateImage,humanReviewMemo
S939_N260195_model_draft_02,S939,S939,N260195,핑크 + 아이보리,O,O,O,O,△,승인 후보,true,false,false,output/drafts/S939_N260195_model_draft_02.png,원단 광택 최종 확인 필요
S940_S729_vendorref_01,S940,S940,S729,화이트 + 블랙,X,O,O,O,O,재생성,false,true,false,output/drafts/S940_S729_vendorref_01.png,S729 스커트를 실제 블랙으로 강제하여 재생성
S940_S729_model_draft_02,S940,S940,S729,화이트 + 블랙,O,O,O,△,△,조건부 승인 후보,false,false,false,output/drafts/S940_S729_model_draft_02.png,A안 1순위. 상의 텍스처와 하의 포켓·버튼·절개·플리츠 실물 대조 후 최종 승인
S941_N260007_model_draft_01,S941,S941,N260007,연핑크 + 블랙,X,△,△,△,△,재생성,false,true,false,,핑크 하의 후보 폐기. N260007 블랙 튤/샤와 허리 리본/밴딩 유지
S941_N260007_model_draft_03,S941,S941,N260007,연핑크 + 블랙,O,O,△,O,O,보완 후 승인 후보,false,false,false,output/drafts/S941_N260007_model_draft_03.png,B안 2순위. 프릴 폭·리본 크기·단추 간격과 튤 레이어 실물 대조 후 보완
S942_TIA-S799_vendorref_01,S942,S942,TIA-S799,아이보리 + 블랙 reference 후보,X,X,X,X,X,reference 재선정,false,true,false,,기존 reference 탈락. TIA-S799_07.jpg 재선정 후보 확인 후 model draft 생성 금지
S943_TIA-S800_model_draft_02,S943,S943,TIA-S800,블랙 + 화이트,O,O,O,O,O,승인 후보,true,false,false,output/drafts/S943_TIA-S800_model_draft_02.png,어색한 그레이톤 제외
S944,S944,,,,,,,,,제외,false,false,true,,작업지시서에 따라 제외
