code,vendorCode,supplier,name,category,color,size,imageCount,mainImage,unknownCutCount,sourceProductCutFirst,folder
TIA-S799,S799,티아라,투피스,TWO PIECE,아이,S / M / L,9,assets/july10/tiara/TIA-S799_01.jpg,0,True,7월 10일 신제품  사진/티아라/S799번 투피스(아이_SML)
TIA-S800,S800,티아라,투피스,TWO PIECE,소라,S / M / L,9,assets/july10/tiara/TIA-S800_01.jpg,0,False,7월 10일 신제품  사진/티아라/S800번 투피스(소라_SML)
TIA-S801,S801,티아라,투피스,TWO PIECE,핑크,S / M / L,9,assets/july10/tiara/TIA-S801_01.jpg,0,True,7월 10일 신제품  사진/티아라/S801번 투피스(핑크_SML)
TIA-S802,S802,티아라,투피스,TWO PIECE,그레이,S / M / L,9,assets/july10/tiara/TIA-S802_01.jpg,0,True,7월 10일 신제품  사진/티아라/S802번 투피스(그레이_SML)
TIA-S803,S803,티아라,투피스,TWO PIECE,블랙,S / M / L,9,assets/july10/tiara/TIA-S803_01.jpg,1,True,7월 10일 신제품  사진/티아라/S803번 투피스(블랙_SML)
TIA-S804,S804,티아라,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/tiara/TIA-S804_01.jpg,0,True,7월 10일 신제품  사진/티아라/S804번(아이_SML)
TIA-S805,S805,티아라,7월 신상 원피스,MINI,핑크,S / M / L,8,assets/july10/tiara/TIA-S805_01.jpg,0,True,7월 10일 신제품  사진/티아라/S805번(핑크_SML)
TIA-S806,S806,티아라,투피스,TWO PIECE,아이,S / M / L,9,assets/july10/tiara/TIA-S806_01.jpg,0,True,7월 10일 신제품  사진/티아라/S806번 투피스(아이_SML)
TIA-S807,S807,티아라,투피스,TWO PIECE,블랙,S / M / L,9,assets/july10/tiara/TIA-S807_01.jpg,0,True,7월 10일 신제품  사진/티아라/S807번 투피스(블랙_SML)
TIA-S808,S808,티아라,투피스,TWO PIECE,아이,S / M / L,8,assets/july10/tiara/TIA-S808_01.jpg,0,True,7월 10일 신제품  사진/티아라/S808번 투피스(아이_SML)
TIA-S809,S809,티아라,투피스,TWO PIECE,핑크,S / M / L,8,assets/july10/tiara/TIA-S809_01.jpg,0,True,7월 10일 신제품  사진/티아라/S809번 투피스(핑크_SML)
TIA-S810,S810,티아라,투피스,TWO PIECE,소라,S / M / L,8,assets/july10/tiara/TIA-S810_01.jpg,0,True,7월 10일 신제품  사진/티아라/S810번 투피스(소라_SML)
TIA-S811,S811,티아라,투피스,TWO PIECE,블랙,S / M / L,8,assets/july10/tiara/TIA-S811_01.jpg,0,True,7월 10일 신제품  사진/티아라/S811번 투피스(블랙_SML)
